Timestamp,Event,SeqNum,RetryCount
1780412095.9866772,SEND,0,0
1780412095.9866772,ACK_RECEIVED,0,0
1780412096.0017815,SEND,1,0
1780412096.0017815,ACK_RECEIVED,1,0
1780412096.0017815,SEND,2,0
1780412096.1077957,TIMEOUT,2,1
1780412096.1077957,RETRANSMISSION,2,1
1780412096.1077957,ACK_RECEIVED,2,1
1780412096.1077957,SEND,3,0
1780412096.1091177,ACK_RECEIVED,3,0
1780412096.1091177,SEND,4,0
1780412096.1091177,ACK_RECEIVED,4,0
1780412096.1101654,SEND,5,0
1780412096.1101654,ACK_RECEIVED,5,0
1780412096.1101654,SEND,6,0
1780412096.1114733,ACK_RECEIVED,6,0
1780412096.1114733,SEND,7,0
1780412096.1114733,ACK_RECEIVED,7,0
1780412096.1114733,SEND,8,0
1780412096.1125553,ACK_RECEIVED,8,0
1780412096.1125553,SEND,9,0
1780412096.1125553,ACK_RECEIVED,9,0
1780412096.1125553,SEND,10,0
1780412096.1135511,ACK_RECEIVED,10,0
1780412096.1135511,SEND,11,0
1780412096.2185245,TIMEOUT,11,1
1780412096.2185245,RETRANSMISSION,11,1
1780412096.2185245,ACK_RECEIVED,11,1
1780412096.2185245,SEND,12,0
1780412096.3299875,TIMEOUT,12,1
1780412096.3299875,RETRANSMISSION,12,1
1780412096.3299875,ACK_RECEIVED,12,1
1780412096.3309844,SEND,13,0
1780412096.3309844,ACK_RECEIVED,13,0
1780412096.3309844,SEND,14,0
1780412096.3321931,ACK_RECEIVED,14,0
1780412096.3321931,SEND,15,0
1780412096.3332741,ACK_RECEIVED,15,0
1780412096.3332741,SEND,16,0
1780412096.3332741,ACK_RECEIVED,16,0
1780412096.3342717,SEND,17,0
1780412096.3342717,ACK_RECEIVED,17,0
1780412096.3342717,SEND,18,0
1780412096.3354151,ACK_RECEIVED,18,0
1780412096.3354151,SEND,19,0
1780412096.3354151,ACK_RECEIVED,19,0
1780412096.3354151,SEND,20,0
1780412096.3364115,ACK_RECEIVED,20,0
1780412096.3364115,SEND,21,0
1780412096.337409,ACK_RECEIVED,21,0
1780412096.337409,SEND,22,0
1780412096.337409,ACK_RECEIVED,22,0
1780412096.3385866,SEND,23,0
1780412096.3385866,ACK_RECEIVED,23,0
1780412096.3395817,SEND,24,0
1780412096.3405035,ACK_RECEIVED,24,0
1780412096.3405035,SEND,25,0
1780412096.3405035,ACK_RECEIVED,25,0
1780412096.3415012,SEND,26,0
1780412096.3420186,ACK_RECEIVED,26,0
1780412096.3420186,SEND,27,0
1780412096.3420186,ACK_RECEIVED,27,0
1780412096.3430152,SEND,28,0
1780412096.343488,ACK_RECEIVED,28,0
1780412096.343488,SEND,29,0
1780412096.343488,ACK_RECEIVED,29,0
1780412096.344484,SEND,30,0
1780412096.344551,ACK_RECEIVED,30,0
1780412096.344551,SEND,31,0
1780412096.3456643,ACK_RECEIVED,31,0
1780412096.3456643,SEND,32,0
1780412096.346666,ACK_RECEIVED,32,0
1780412096.346666,SEND,33,0
1780412096.346666,ACK_RECEIVED,33,0
1780412096.3476627,SEND,34,0
1780412096.3483415,ACK_RECEIVED,34,0
1780412096.3483415,SEND,35,0
1780412096.3483415,ACK_RECEIVED,35,0
1780412096.3483415,SEND,36,0
1780412096.349504,ACK_RECEIVED,36,0
1780412096.349504,SEND,37,0
1780412096.350526,ACK_RECEIVED,37,0
1780412096.3506634,SEND,38,0
1780412096.3506634,ACK_RECEIVED,38,0
1780412096.3506634,SEND,39,0
1780412096.351661,ACK_RECEIVED,39,0
1780412096.351661,SEND,40,0
1780412096.35264,ACK_RECEIVED,40,0
1780412096.35264,SEND,41,0
1780412096.3536358,ACK_RECEIVED,41,0
1780412096.3536358,SEND,42,0
1780412096.3536358,ACK_RECEIVED,42,0
1780412096.3536358,SEND,43,0
1780412096.4559119,TIMEOUT,43,1
1780412096.4559119,RETRANSMISSION,43,1
1780412096.4559119,ACK_RECEIVED,43,1
1780412096.4569058,SEND,44,0
1780412096.457364,ACK_RECEIVED,44,0
1780412096.457364,SEND,45,0
1780412096.4583642,ACK_RECEIVED,45,0
1780412096.4583642,SEND,46,0
1780412096.4583642,ACK_RECEIVED,46,0
1780412096.4594357,SEND,47,0
1780412096.4597683,ACK_RECEIVED,47,0
1780412096.4597683,SEND,48,0
1780412096.4597683,ACK_RECEIVED,48,0
1780412096.4608173,SEND,49,0
1780412096.4608173,ACK_RECEIVED,49,0
1780412096.4608173,SEND,50,0
1780412096.4622488,ACK_RECEIVED,50,0
1780412096.4622488,SEND,51,0
1780412096.4632454,ACK_RECEIVED,51,0
